player_id,season,week,rush_attempt,rec_attempt,pass_attempt,rec_air_yards,lag_yards_per_rush_attempt,lag_yards_per_target,lag_yards_per_pass_attempt,lag_yards_per_rush_attempt_shrunk,lag_yards_per_target_shrunk,lag_yards_per_pass_attempt_shrunk,lag_avg_depth_of_target_shrunk,lag_rec_air_yards
00-0040164,2025,8.0,0.0,2.0,0.0,11.0,0.0,10.0,0.0,4.258976728496787,7.752420885695749,7.0964572513420325,13.631063925236155,105.0
00-0040164,2025,9.0,0.0,5.0,0.0,41.0,0.0,0.0,0.0,4.258976728496787,7.6089044675907145,7.0964572513420325,7.263154163067911,11.0
00-0040164,2025,10.0,0.0,1.0,0.0,40.0,0.0,5.8,0.0,4.258976728496787,7.639018060747923,7.0964572513420325,8.155684579738233,41.0
00-0040164,2025,11.0,0.0,1.0,0.0,12.0,0.0,41.0,0.0,4.258976728496787,7.850739813200619,7.0964572513420325,14.237953228972746,40.0
00-0040164,2025,13.0,0.0,1.0,0.0,29.0,0.0,13.0,0.0,4.258976728496787,7.711436330613554,7.0964572513420325,8.852476472948243,12.0
00-0040164,2025,15.0,0.0,1.0,0.0,21.0,0.0,0.0,0.0,4.258976728496787,7.646759713698131,7.0964572513420325,12.122230217677405,29.0
00-0040164,2026,1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,4.258976728496787,7.646759713698131,7.0964572513420325,10.583522573098978,21.0
00-0040170,2025,1.0,0.0,7.0,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0040170,2025,2.0,0.0,6.0,0.0,69.0,0.0,1.8571428571428572,0.0,4.258976728496787,7.487916436972581,7.0964572513420325,14.914099923720505,133.0
00-0040170,2025,3.0,0.0,5.0,0.0,39.0,0.0,9.333333333333334,0.0,4.258976728496787,7.733003409967593,7.0964572513420325,10.10136434964771,69.0
00-0040170,2025,4.0,0.0,7.0,0.0,102.0,0.0,7.6,0.0,4.258976728496787,7.6829204997723135,7.0964572513420325,7.938273620834091,39.0
00-0040170,2025,5.0,0.0,4.0,0.0,38.0,0.0,6.285714285714286,0.0,4.258976728496787,7.637674891078861,7.0964572513420325,12.146037226102269,102.0
00-0040170,2025,6.0,0.0,5.0,0.0,84.0,0.0,4.5,0.0,4.258976728496787,7.622542659084923,7.0964572513420325,8.784490379867638,38.0
00-0040170,2025,7.0,0.0,5.0,0.0,37.0,0.0,5.4,0.0,4.258976728496787,7.629261963186948,7.0964572513420325,12.83002019617729,84.0
00-0040170,2025,8.0,0.0,8.0,0.0,111.0,0.0,5.8,0.0,4.258976728496787,7.639018060747923,7.0964572513420325,7.720862661929949,37.0
00-0040170,2025,9.0,0.0,6.0,0.0,72.0,0.0,6.5,0.0,4.258976728496787,7.6394168387179056,7.0964572513420325,11.888147741328648,111.0
